S.no,Movie Title,Genre,Budget (Cr),Director Success Rate,Lead Actor Success Rate,IMDb,Trailer Views (M),Box Office Revenue
440,Naandhi,Thriller,15,75,85,7.8,5.3,9.5
441,Aranya,Thriller,45,40,70,7.5,13,25
442,Amigos,Thriller,60,45,35,6,13,11.75
443,Mishan Impossible,Thriller,25,60,30,6.4,9,6
444,Aswathama,Thriller,25,65,20,6.4,7.5,4.83
445,Arjuna Phalguna,Thriller,20,40,70,4.8,5.5,3
446,Valmiki,Thriller,30,75.5,75,6.2,1.5,35
447,Chanakya,Thriller,50,40.3,35,5.4,6.8,40
448,Spyder,Thriller,100,60.7,75,6.3,15,160
449,Ichata Vahanumulu Niluparadu,Thriller,15,54.2,50,5.7,3.3,2
450,KA,Thriller,22,65.8,55,7.2,9.8,2
451,Matka,Thriller,40,35.9,75,4.7,8.8,2
452,Check,Thriller,25,45,62,6.4,3.1,30
453,Dorakuna Ituvanti Seva,Thriller,20,40.2,0,8.3,0.126,2
454,Kali,Thriller,15,42.3,83,7.2,1.9,2
455,Masooda,Thriller,10,65.7,50,7.2,5.1,6
456,Hunt,Thriller,20,50.4,55,5.4,6.8,2
457,Appudu Ippudo Eppudo,Thriller,15,35.2,41,4.7,3.5,2
458,Kavacham,Thriller,25,45.6,35,5.5,2.2,35
459,Lie,Thriller,40,48.9,60,5.8,4.7,55
460,Spark L.I.F.E,Thriller,5,40.7,50,7.3,11,2
461,Nannaku Prematho,Thriller,50,82.4,51.72,7.5,7.5,95
462,118,Thriller,20,60.3,35,6.4,0.891,30
463,Saakshyam,Thriller,30,50,45,4.6,9,45
464,Black Rose,Thriller,2,38.2,50,4,0.261,1
465,Maya,Thriller,10,66,76,43,3.9,1
466,Anthima Theerpu,Thriller,1.15,42.7,50,8.1,0.677,2
467,Kshanam,Thriller,15,75.3,70,8.1,1.7,7
468,Ninu Veedani Needanu Nene,Thriller,15,55.4,50,5.8,3.8,3
469,Satyabhama,Thriller,15,48.3,70,5.9,3.5,2.55
470,Tiger Nagheswar Rao,Thriller,60,60.8,75,6.2,16,40
471,U-Turn,Thriller,10,68.9,65,6,6.1,12
472,Karthikeya 2,Thriller,50,80.2,41,6.9,13,135
473,The story of a beautiful girl,Thriller,1,39.8,50,4.9,1.7,1
474,Case 30,Thriller,1.4,41.2,50,7.1,1,1.5
475,Subrahmanyapuram,Thriller,15,55.7,60,5.4,2,5.75
476,1:Nenokkadine,Thriller,60,70.5,75,7.9,0.703,55
477,Rakshasudu,Thriller,20,65.1,65,7.9,2.3,17.1
478,Neevevaro,Thriller,4.2,58.4,60,6.8,2,12
479,Veekshanam,Thriller,15,50,50,8,1,1.5
480,Kota Bommali PS,Thriller,0.44,60.6,60,7.2,0.245,2
481,Vakeel Saab,Thriller,70,78.9,35,6.9,49,135
482,Arjun Suravaram,Thriller,10,62.7,41,6.6,4.5,21
483,Kerosene,Thriller,3,45.1,50,7.4,0.237,1.75
484,The Great Indian Suicide,Thriller,5,40.9,55,5.8,0.224,2
485,Raagala 24 Gantallo,Thriller,15,50.2,60,5.2,0.81,2
486,Jawaan,Thriller,18,55.8,65,4.7,76,1148
487,Devil-The British Secret Agent,Thriller,80,58.6,60,6.5,16,22.9
488,Bholaa Shankar,Thriller,101,50.5,65,3.3,20,47.5
489,Raju Gari Gadhi 3,Thriller,10,45.9,55,5.5,6.1,20.71
490,Kalki,Thriller,600,65.3,50,6.8,31,18
491,Mukhachitram,Thriller,5,52.4,50,6.4,0.691,0.5
492,Viswam,Thriller,24,47.8,55,4.2,0.88,18.96
493,G-Zombie,Thriller,0.0025,40.3,50,4.5,1.2,4.5
494,Butterfly,Thriller,15,54.7,54,4.6,8.2,12
495,Jai Lava Kusa,Thriller,45,75.6,51.72,6.8,27,175
496,Custody,Thriller,30,58.2,60,5.7,17,11
497,Shivangi Lioness,Thriller,4,42.6,50,7.8,0.741,1
498,Maa Oori Polimera,Thriller,6,60.5,60,7.2,1,1.1
499,Drushyam,Thriller,6,70.8,83,8.2,0.732,20
500,Gentleman,Thriller,15,68.4,80,7.1,2.8,32.6
501,Dongalunnaru Jagratta,Thriller,2.5,45,55,5.1,0.431,20.5
502,Amma Rajyamlo Kadapa Biddalu,Thriller,1,30,50,3.2,9,4.82
503,Karthiekya,Thriller,6,75,41,7.2,1,20
504,Bluff Master,Thriller,10,55.5,60,6.3,0.62,32.71
505,Nene Naa,Thriller,9,50,55,3.9,2,0.035
506,C/o Kancharapalem,Drama,0.77,70,90,9.5,17,3
507,Billa,Drama,120,75,80,4.3,0.6,10
508,Vachindamma,Drama,5,75,80,8.2,12,8
509,Pelli Sandadi 2,Drama,1.25,60,65,8.3,1,5
510,Prathi Roju Pandage,Drama,25,85,85,8.1,20,45
511,Manasunna Reddy,Drama,0.8,60,65,8.5,1,7
512,Kshana Kshanam 2,Drama,1.4,70,70,7.9,2,10
513,Ala Vaikunthapurramuloo,Drama,100,90,95,8.3,90,150
514,Kshana Kshanam Reloaded,Drama,1,65,70,8.2,1,7
515,Pelli Sandadi 3,Drama,1.25,60,65,8,0.5,5
516,Toli Prema Reloaded,Drama,7,70,80,7.9,4,20
517,Unbeaten Geniuses,Drama,12,65,70,8.5,1,5
518,Pelli Sandadi Revisited,Drama,3,60,65,5.1,0.5,3
519,Dhanak,Drama,2,80,75,7.9,2.5,10
520,Kshana Kshanam 3,Drama,3.5,65,70,8.1,1,7
521,Kshana Kshanam Returns,Drama,4,65,70,7.9,1,6
522,Chitram 2,Drama,6,70,70,8,2,7
523,Kshana Kshanam 4,Drama,5,60,65,7.8,0.78,6
524,Gamyam 2,Drama,50,70,75,8.1,1,10
525,Rocky aur Rani ki Prem Kahani,Drama,160,85,90,6.5,80,355
526,Gangubai Kathiawadi,Drama,180,90,90,7.8,65,220
527,The Kashmir Files,Drama,25,85,85,8.5,40,300
528,The White Tiger,Drama,25,80,85,7.1,20,0
529,Thappad,Drama,20,85,90,7,15,44
530,Uri : The Surgical Strike,Drama,25,95,95,8.2,70,342
531,Aa Naluguru,Drama,1.5,70,60,8.6,0.002,3
532,Aditya's Journey,Drama,13,85,70,8.2,9.2,90
533,Baahubali 2: The Conclusion,Drama,250,90,85,8.2,105,1810
534,Bhale Bhale Magadivoy,Drama,7,100,80,8,6.7,55
535,Chinnadana Neekosam,Drama,12,60,65,8,1.9,15
536,Chitram,Drama,0.8,100,50,8.7,0.18,6
537,Chupultho,Drama,1.5,70,80,8.2,0.08,20
538,Ee Nagaraniki Emaindi,Drama,2.5,100,70,8.1,1.8,8
539,Jersey,Drama,25,80,70,8.5,"12,5",48
540,Kalyana Vaibhogame,Drama,4,70,65,7.8,1.5,8
541,Karthikeya,Drama,5,100,70,7.8,2.1,20
542,Love Story,Drama,30,85,75,8.2,10.5,60
543,Mahanati,Drama,25,100,75,8.4,10.3,83
544,Malleswari,Drama,8,70,75,8.4,0.45,20
545,Manam,Drama,28,80,85,8.4,0.45,62
546,NTR Kathanayakudu,Drama,50,75,80,8.4,3.2,20
547,Nuvvu Naaku Nachchav,Drama,6,75,80,8.8,0.47,20
548,Okka Kshanam,Drama,10,60,65,7.8,1.9,5
549,Pelli Sandadi,Drama,2,80,75,8,11,15
550,Prema Katha Chitram,Drama,2,75,70,8,2.8,20
551,Prema Katha Chitram 2,Drama,3,50,50,8.1,1.3,5
552,Raghavendra,Drama,8,60,70,8.5,0.035,12
553,Raja Rani,Drama,15,100,80,8.1,5.6,50
554,Rajanna,Drama,20,60,70,8.1,2.3,8
555,Rangasthalam,Drama,60,90,85,8.4,12.7,216
556,Samudram,Drama,6,70,60,8.3,0.34,10
557,Sarileru Neekevvaru,Drama,75,85,90,7.9,25.3,260
558,Seethamma Vakitlo Sirimalle Chettu,Drama,50,75,80,8.4,3.8,51
559,Sye,Drama,10,80,75,7.9,0.006,22
560,Loveyapa,Drama,30,37.5,25,5.4,0.447,7.69
